team,map_name,pistol_round_win_rate,n_pistol_rounds,ct_win_rate,n_ct_rounds,t_win_rate,n_t_rounds
777,Nuke,0.0,2,0.2727272727272727,11,0.5833333333333334,12
777,Train,0.6666666666666666,6,0.42857142857142855,35,0.5833333333333334,36
888aura,Ancient,0.75,4,0.6111111111111112,18,0.5416666666666666,24
888aura,Dust2,0.0,2,0.5833333333333334,12,0.4166666666666667,12
888aura,Mirage,0.5,4,0.75,16,0.4166666666666667,24
888aura,Nuke,1.0,2,0.5,12,0.3,10
888aura,Overpass,0.0,2,0.75,12,0.5714285714285714,7
888aura,Train,0.5,2,0.4166666666666667,12,0.0,6
8Sins,Ancient,0.42857142857142855,14,0.5833333333333334,84,0.45161290322580644,62
8Sins,Anubis,0.7142857142857143,14,0.4647887323943662,71,0.589041095890411,73
8Sins,Dust2,0.5,2,0.5,12,0.2222222222222222,9
8Sins,Inferno,0.25,16,0.44285714285714284,70,0.5425531914893617,94
8Sins,Mirage,0.6666666666666666,6,0.5833333333333334,36,0.6206896551724138,29
8Sins,Nuke,0.4,20,0.4148936170212766,94,0.49038461538461536,104
8Sins,Overpass,0.5,4,0.4166666666666667,24,0.42105263157894735,19
8Sins,Train,0.4,10,0.37254901960784315,51,0.4339622641509434,53
9 Pandas,Ancient,0.4857142857142857,70,0.4758269720101781,393,0.5164179104477612,335
9 Pandas,Anubis,0.4791666666666667,48,0.38967136150234744,213,0.5845070422535211,284
9 Pandas,Dust2,0.5108695652173914,92,0.5295454545454545,440,0.5459662288930581,533
9 Pandas,Inferno,0.5238095238095238,42,0.5695652173913044,230,0.5128205128205128,195
9 Pandas,Mirage,0.5138888888888888,72,0.5340314136125655,382,0.5082872928176796,362
9 Pandas,Nuke,0.5729166666666666,96,0.5795454545454546,440,0.5295238095238095,525
9 Pandas,Train,0.5,2,0.5,12,0.7,10
9BOOMPRO,Ancient,0.3333333333333333,6,0.4166666666666667,36,0.3793103448275862,29
9BOOMPRO,Dust2,0.875,8,0.5945945945945946,37,0.5714285714285714,42
9BOOMPRO,Inferno,0.25,4,0.7333333333333333,15,0.3333333333333333,24
9BOOMPRO,Mirage,0.25,4,0.4,20,0.36363636363636365,22
9BOOMPRO,Nuke,0.6666666666666666,6,0.875,24,0.5,36
9BOOMPRO,Overpass,0.5,2,0.5555555555555556,9,0.6666666666666666,12
9INE,Ancient,0.5136986301369864,146,0.46938775510204084,784,0.5452091767881242,741
9INE,Anubis,0.4891304347826087,92,0.43227091633466136,502,0.565843621399177,486
9INE,Dust2,0.44680851063829785,94,0.4556701030927835,485,0.4683257918552036,442
9INE,Inferno,0.4909090909090909,110,0.4954954954954955,555,0.5397923875432526,578
9INE,Nuke,0.41044776119402987,134,0.5085865257595773,757,0.4830028328611898,706
9INE,Overpass,0.2,10,0.44,50,0.5849056603773585,53
9INE,Train,0.6129032258064516,62,0.6209386281588448,277,0.4638888888888889,360
9INE,Vertigo,0.5526315789473685,38,0.5555555555555556,171,0.5673076923076923,208
9INE Academy,Mirage,0.5,2,0.625,8,0.16666666666666666,12
9INE Academy,Nuke,0.0,2,0.3333333333333333,12,0.5,10
9z,Ancient,0.5526315789473685,38,0.4898989898989899,198,0.526595744680851,188
9z,Anubis,0.625,8,0.2,35,0.5,48
9z,Dust2,0.5384615384615384,52,0.49372384937238495,239,0.5749128919860628,287
9z,Inferno,0.625,32,0.5754189944134078,179,0.5037593984962406,133
9z,Mirage,0.4642857142857143,28,0.4444444444444444,144,0.5454545454545454,132
9z,Nuke,0.5166666666666667,60,0.5496688741721855,302,0.5102639296187683,341
9z,Overpass,0.25,4,0.45,20,0.6666666666666666,24
9z,Train,0.45,20,0.6173913043478261,115,0.42105263157894735,114
9z Academy,Ancient,0.75,8,0.4791666666666667,48,0.5217391304347826,23
9z Academy,Anubis,0.5,6,0.3333333333333333,30,0.6538461538461539,26
9z Academy,Inferno,0.6,10,0.49122807017543857,57,0.5531914893617021,47
9z Academy,Mirage,0.5,8,0.4857142857142857,35,0.6875,48
9z Academy,Nuke,0.5,4,0.2916666666666667,24,0.55,20
9z Academy,Train,0.0,2,0.0,3,0.16666666666666666,12
9z Academy,Vertigo,1.0,2,0.4166666666666667,12,0.6666666666666666,12
ADEPTS,Ancient,0.375,8,0.35,40,0.4594594594594595,37
ADEPTS,Anubis,0.25,4,0.4583333333333333,24,0.1875,16
ADEPTS,Inferno,0.25,8,0.21212121212121213,33,0.3333333333333333,39
ADEPTS,Nuke,0.25,4,0.6666666666666666,24,0.4090909090909091,22
ADEPTS,Vertigo,0.5,4,0.4,15,0.2916666666666667,24
AGRICOLA,Ancient,0.5,2,0.5,12,0.36363636363636365,11
AGRICOLA,Nuke,0.5,2,0.4,5,0.16666666666666666,12
AK BARS,Ancient,0.375,8,0.6041666666666666,48,0.3783783783783784,37
AK BARS,Dust2,0.3333333333333333,6,0.43333333333333335,30,0.45714285714285713,35
AK BARS,Mirage,0.4166666666666667,12,0.5614035087719298,57,0.5,68
AK BARS,Nuke,0.75,4,0.25,24,0.4666666666666667,15
AKA HERO KAJO,Ancient,0.3,10,0.5666666666666667,60,0.425531914893617,47
AKA HERO KAJO,Dust2,0.625,8,0.4375,48,0.6060606060606061,33
AKA HERO KAJO,Inferno,0.5,6,0.3055555555555556,36,0.59375,32
AKA HERO KAJO,Mirage,0.5,4,0.2916666666666667,24,0.5555555555555556,18
AKA HERO KAJO,Nuke,0.5,16,0.4342105263157895,76,0.5625,96
AKA HERO KAJO,Train,0.25,8,0.3448275862068966,29,0.4166666666666667,48
ALASKA,Ancient,0.5,24,0.5794392523364486,107,0.5070422535211268,142
ALASKA,Anubis,0.4166666666666667,24,0.35294117647058826,119,0.5147058823529411,136
ALASKA,Dust2,0.625,8,0.4166666666666667,48,0.6296296296296297,27
ALASKA,Inferno,0.375,16,0.4222222222222222,90,0.35135135135135137,74
ALASKA,Mirage,0.5,8,0.4166666666666667,48,0.5,30
ALASKA,Nuke,0.5454545454545454,22,0.5851063829787234,94,0.515625,128
ALASKA,Train,0.5625,16,0.6103896103896104,77,0.34782608695652173,92
ALGO,Ancient,0.5714285714285714,14,0.36065573770491804,61,0.379746835443038,79
ALGO,Anubis,0.5,2,0.3333333333333333,12,0.5454545454545454,11
ALGO,Dust2,0.25,4,0.47368421052631576,19,0.5,20
ALGO,Inferno,0.5,12,0.3870967741935484,62,0.4714285714285714,70
ALGO,Mirage,0.375,8,0.42857142857142855,21,0.375,48
ALGO,Nuke,0.0,6,0.2222222222222222,27,0.3076923076923077,26
ALGO,Overpass,0.5,6,0.41379310344827586,29,0.4166666666666667,36
ALGO,Train,0.4166666666666667,12,0.46551724137931033,58,0.5789473684210527,57
ALLINNERS,Ancient,0.5,14,0.5555555555555556,72,0.4375,80
ALLINNERS,Anubis,0.25,4,0.30434782608695654,23,0.5833333333333334,24
ALLINNERS,Dust2,0.5,24,0.5660377358490566,106,0.5777777777777777,135
ALLINNERS,Inferno,0.375,8,0.4583333333333333,48,0.46808510638297873,47
ALLINNERS,Mirage,0.6111111111111112,18,0.5192307692307693,104,0.39285714285714285,84
ALLINNERS,Nuke,0.25,4,0.3684210526315789,19,0.631578947368421,19
ALTERNATE aTTaX,Ancient,0.36764705882352944,68,0.46272493573264784,389,0.5015479876160991,323
ALTERNATE aTTaX,Anubis,0.5365853658536586,82,0.47392290249433106,441,0.5412844036697247,436
ALTERNATE aTTaX,Dust2,0.6190476190476191,42,0.4883720930232558,215,0.538135593220339,236
ALTERNATE aTTaX,Inferno,0.5370370370370371,54,0.4659090909090909,264,0.525974025974026,308
ALTERNATE aTTaX,Mirage,0.5,26,0.47435897435897434,156,0.4,110
ALTERNATE aTTaX,Nuke,0.5,6,0.6944444444444444,36,0.4444444444444444,18
ALTERNATE aTTaX,Train,0.5,2,0.8,10,0.4166666666666667,12
ALTERNATE aTTaX,Vertigo,0.5714285714285714,28,0.4896551724137931,145,0.4965034965034965,143
ALZON,Dust2,1.0,2,0.25,12,0.3333333333333333,6
ALZON,Mirage,0.5,2,0.25,12,0.0,4
ALZON,Overpass,0.5,4,0.4166666666666667,12,0.20833333333333334,24
